,date,seq,b,d,f,h,u
380,1984-11,U,0,0,0,0,1
381,1984-12,U,0,0,0,0,1
382,1985-01,U,0,0,0,0,1
383,1985-02,U,0,0,0,0,1
384,1985-03,U,0,0,0,0,1
385,1985-04,U,0,0,0,0,1
386,1985-05,U,0,0,0,0,1
387,1985-06,U,0,0,0,0,1
388,1985-07,U,0,0,0,0,1
389,1985-08,U,0,0,0,0,1
390,1985-09,U,0,0,0,0,1
391,1985-10,U,0,0,0,0,1
392,1985-11,U,0,0,0,0,1
393,1985-12,U,0,0,0,0,1
394,1986-01,U,0,0,0,0,1
395,1986-02,U,0,0,0,0,1
396,1986-03,U,0,0,0,0,1
397,1986-04,U,0,0,0,0,1
398,1986-05,U,0,0,0,0,1
399,1986-06,U,0,0,0,0,1
400,1986-07,U,0,0,0,0,1
401,1986-08,U,0,0,0,0,1
402,1986-09,U,0,0,0,0,1
403,1986-10,U,0,0,0,0,1
404,1986-11,U,0,0,0,0,1
405,1986-12,U,0,0,0,0,1
406,1987-01,U,0,0,0,0,1
407,1987-02,U,0,0,0,0,1
408,1987-03,U,0,0,0,0,1
409,1987-04,U,0,0,0,0,1
410,1987-05,U,0,0,0,0,1
411,1987-06,U,0,0,0,0,1
412,1987-07,U,0,0,0,0,1
413,1987-08,U,0,0,0,0,1
414,1987-09,U,0,0,0,0,1
415,1987-10,U,0,0,0,0,1
416,1987-11,U,0,0,0,0,1
417,1987-12,U,0,0,0,0,1
418,1988-01,U,0,0,0,0,1
419,1988-02,U,0,0,0,0,1
420,1988-03,U,0,0,0,0,1
421,1988-04,U,0,0,0,0,1
422,1988-05,U,0,0,0,0,1
423,1988-06,U,0,0,0,0,1
424,1988-07,U,0,0,0,0,1
425,1988-08,U,0,0,0,0,1
426,1988-09,U,0,0,0,0,1
427,1988-10,U,0,0,0,0,1
428,1988-11,U,0,0,0,0,1
429,1988-12,H,0,0,0,1,0
430,1989-01,H,0,0,0,1,0
431,1989-02,H,0,0,0,1,0
432,1989-03,H,0,0,0,1,0
433,1989-04,H,0,0,0,1,0
434,1989-05,F,0,0,1,0,0
435,1989-06,F,0,0,1,0,0
436,1989-07,B,1,0,0,0,0
437,1989-08,F,0,0,1,0,0
438,1989-09,F,0,0,1,0,0
439,1989-10,F,0,0,1,0,0
440,1989-11,F,0,0,1,0,0
441,1989-12,B,1,0,0,0,0
442,1990-01,U,0,0,0,0,1
443,1990-02,U,0,0,0,0,1
444,1990-03,H,0,0,0,1,0
445,1990-04,H,0,0,0,1,0
446,1990-05,U,0,0,0,0,1
447,1990-06,U,0,0,0,0,1
448,1990-07,U,0,0,0,0,1
449,1990-08,U,0,0,0,0,1
450,1990-09,U,0,0,0,0,1
451,1990-10,U,0,0,0,0,1
452,1990-11,U,0,0,0,0,1
453,1990-12,U,0,0,0,0,1
454,1991-01,U,0,0,0,0,1
455,1991-02,U,0,0,0,0,1
456,1991-03,U,0,0,0,0,1
457,1991-04,U,0,0,0,0,1
458,1991-05,U,0,0,0,0,1
459,1991-06,U,0,0,0,0,1
460,1991-07,U,0,0,0,0,1
461,1991-08,U,0,0,0,0,1
462,1991-09,U,0,0,0,0,1
463,1991-10,U,0,0,0,0,1
464,1991-11,U,0,0,0,0,1
465,1991-12,U,0,0,0,0,1
466,1992-01,U,0,0,0,0,1
467,1992-02,U,0,0,0,0,1
468,1992-03,U,0,0,0,0,1
469,1992-04,U,0,0,0,0,1
470,1992-05,U,0,0,0,0,1
471,1992-06,U,0,0,0,0,1
472,1992-07,U,0,0,0,0,1
473,1992-08,U,0,0,0,0,1
474,1992-09,U,0,0,0,0,1
475,1992-10,U,0,0,0,0,1
476,1992-11,U,0,0,0,0,1
477,1992-12,U,0,0,0,0,1
478,1993-01,U,0,0,0,0,1
479,1993-02,U,0,0,0,0,1
480,1993-03,U,0,0,0,0,1
481,1993-04,U,0,0,0,0,1
482,1993-05,U,0,0,0,0,1
483,1993-06,U,0,0,0,0,1
484,1993-07,U,0,0,0,0,1
485,1993-08,U,0,0,0,0,1
486,1993-09,U,0,0,0,0,1
487,1993-10,U,0,0,0,0,1
488,1993-11,U,0,0,0,0,1
489,1993-12,U,0,0,0,0,1
490,1994-01,U,0,0,0,0,1
491,1994-02,U,0,0,0,0,1
492,1994-03,U,0,0,0,0,1
493,1994-04,U,0,0,0,0,1
494,1994-05,U,0,0,0,0,1
495,1994-06,U,0,0,0,0,1
496,1994-07,U,0,0,0,0,1
497,1994-08,U,0,0,0,0,1
498,1994-09,U,0,0,0,0,1
499,1994-10,U,0,0,0,0,1
500,1994-11,U,0,0,0,0,1
501,1994-12,U,0,0,0,0,1
502,1995-01,U,0,0,0,0,1
503,1995-02,U,0,0,0,0,1
504,1995-03,U,0,0,0,0,1
505,1995-04,U,0,0,0,0,1
506,1995-05,U,0,0,0,0,1
507,1995-06,U,0,0,0,0,1
508,1995-07,U,0,0,0,0,1
509,1995-08,U,0,0,0,0,1
510,1995-09,U,0,0,0,0,1
511,1995-10,U,0,0,0,0,1
512,1995-11,U,0,0,0,0,1
513,1995-12,U,0,0,0,0,1
514,1996-01,U,0,0,0,0,1
515,1996-02,U,0,0,0,0,1
516,1996-03,U,0,0,0,0,1
517,1996-04,U,0,0,0,0,1
518,1996-05,U,0,0,0,0,1
519,1996-06,U,0,0,0,0,1
520,1996-07,U,0,0,0,0,1
521,1996-08,U,0,0,0,0,1
522,1996-09,U,0,0,0,0,1
523,1996-10,U,0,0,0,0,1
524,1996-11,U,0,0,0,0,1
525,1996-12,U,0,0,0,0,1
526,1997-01,U,0,0,0,0,1
527,1997-02,U,0,0,0,0,1
528,1997-03,U,0,0,0,0,1
529,1997-04,U,0,0,0,0,1
530,1997-05,U,0,0,0,0,1
531,1997-06,U,0,0,0,0,1
532,1997-07,U,0,0,0,0,1
533,1997-08,U,0,0,0,0,1
534,1997-09,U,0,0,0,0,1
535,1997-10,U,0,0,0,0,1
536,1997-11,U,0,0,0,0,1
537,1997-12,U,0,0,0,0,1
538,1998-01,U,0,0,0,0,1
539,1998-02,U,0,0,0,0,1
540,1998-03,U,0,0,0,0,1
541,1998-04,U,0,0,0,0,1
542,1998-05,U,0,0,0,0,1
543,1998-06,U,0,0,0,0,1
544,1998-07,U,0,0,0,0,1
545,1998-08,U,0,0,0,0,1
546,1998-09,B,1,0,0,0,0
547,1998-10,U,0,0,0,0,1
548,1998-11,U,0,0,0,0,1
549,1998-12,U,0,0,0,0,1
550,1999-01,U,0,0,0,0,1
551,1999-02,U,0,0,0,0,1
552,1999-03,U,0,0,0,0,1
553,1999-04,U,0,0,0,0,1
554,1999-05,U,0,0,0,0,1
555,1999-06,U,0,0,0,0,1
556,1999-07,U,0,0,0,0,1
557,1999-08,U,0,0,0,0,1
558,1999-09,U,0,0,0,0,1
559,1999-10,U,0,0,0,0,1
560,1999-11,U,0,0,0,0,1
561,1999-12,U,0,0,0,0,1
562,2000-01,U,0,0,0,0,1
563,2000-02,H,0,0,0,1,0
564,2000-03,H,0,0,0,1,0
565,2000-04,H,0,0,0,1,0
566,2000-05,H,0,0,0,1,0
567,2000-06,H,0,0,0,1,0
568,2000-07,H,0,0,0,1,0
569,2000-08,D,0,1,0,0,0
570,2000-09,D,0,1,0,0,0
571,2000-10,B,1,0,0,0,0
572,2000-11,B,1,0,0,0,0
573,2000-12,B,1,0,0,0,0
574,2001-01,B,1,0,0,0,0
575,2001-02,U,0,0,0,0,1
576,2001-03,U,0,0,0,0,1
577,2001-04,U,0,0,0,0,1
578,2001-05,U,0,0,0,0,1
579,2001-06,U,0,0,0,0,1
580,2001-07,U,0,0,0,0,1
581,2001-08,U,0,0,0,0,1
582,2001-09,U,0,0,0,0,1
583,2001-10,U,0,0,0,0,1
584,2001-11,U,0,0,0,0,1
585,2001-12,U,0,0,0,0,1
586,2002-01,U,0,0,0,0,1
587,2002-02,U,0,0,0,0,1
588,2002-03,U,0,0,0,0,1
589,2002-04,U,0,0,0,0,1
590,2002-05,U,0,0,0,0,1
591,2002-06,U,0,0,0,0,1
592,2002-07,U,0,0,0,0,1
593,2002-08,U,0,0,0,0,1
594,2002-09,U,0,0,0,0,1
595,2002-10,U,0,0,0,0,1
596,2002-11,U,0,0,0,0,1
597,2002-12,U,0,0,0,0,1
598,2003-01,U,0,0,0,0,1
599,2003-02,U,0,0,0,0,1
600,2003-03,U,0,0,0,0,1
601,2003-04,U,0,0,0,0,1
602,2003-05,U,0,0,0,0,1
603,2003-06,U,0,0,0,0,1
604,2003-07,U,0,0,0,0,1
605,2003-08,U,0,0,0,0,1
606,2003-09,U,0,0,0,0,1
607,2003-10,U,0,0,0,0,1
608,2003-11,U,0,0,0,0,1
609,2003-12,U,0,0,0,0,1
610,2004-01,U,0,0,0,0,1
611,2004-02,U,0,0,0,0,1
612,2004-03,U,0,0,0,0,1
613,2004-04,U,0,0,0,0,1
614,2004-05,U,0,0,0,0,1
615,2004-06,U,0,0,0,0,1
616,2004-07,U,0,0,0,0,1
617,2004-08,U,0,0,0,0,1
618,2004-09,U,0,0,0,0,1
619,2004-10,U,0,0,0,0,1
620,2004-11,U,0,0,0,0,1
621,2004-12,U,0,0,0,0,1
622,2005-01,U,0,0,0,0,1
623,2005-02,U,0,0,0,0,1
624,2005-03,U,0,0,0,0,1
625,2005-04,U,0,0,0,0,1
626,2005-05,U,0,0,0,0,1
627,2005-06,U,0,0,0,0,1
628,2005-07,U,0,0,0,0,1
629,2005-08,U,0,0,0,0,1
630,2005-09,U,0,0,0,0,1
631,2005-10,U,0,0,0,0,1
632,2005-11,U,0,0,0,0,1
633,2005-12,U,0,0,0,0,1
634,2006-01,U,0,0,0,0,1
635,2006-02,F,0,0,1,0,0
636,2006-03,F,0,0,1,0,0
637,2006-04,U,0,0,0,0,1
638,2006-05,U,0,0,0,0,1
639,2006-06,U,0,0,0,0,1
640,2006-07,B,1,0,0,0,0
641,2006-08,B,1,0,0,0,0
642,2006-09,B,1,0,0,0,0
643,2006-10,B,1,0,0,0,0
644,2006-11,B,1,0,0,0,0
645,2006-12,B,1,0,0,0,0
646,2007-01,B,1,0,0,0,0
647,2007-02,B,1,0,0,0,0
648,2007-03,B,1,0,0,0,0
649,2007-04,B,1,0,0,0,0
650,2007-05,B,1,0,0,0,0
651,2007-06,U,0,0,0,0,1
652,2007-07,B,1,0,0,0,0
653,2007-08,U,0,0,0,0,1
654,2007-09,U,0,0,0,0,1
655,2007-10,U,0,0,0,0,1
656,2007-11,U,0,0,0,0,1
657,2007-12,U,0,0,0,0,1
658,2008-01,U,0,0,0,0,1
659,2008-02,U,0,0,0,0,1
660,2008-03,U,0,0,0,0,1
661,2008-04,U,0,0,0,0,1
662,2008-05,U,0,0,0,0,1
663,2008-06,U,0,0,0,0,1
664,2008-07,U,0,0,0,0,1
665,2008-08,U,0,0,0,0,1
666,2008-09,U,0,0,0,0,1
667,2008-10,U,0,0,0,0,1
668,2008-11,U,0,0,0,0,1
669,2008-12,U,0,0,0,0,1
670,2009-01,U,0,0,0,0,1
671,2009-02,U,0,0,0,0,1
672,2009-03,U,0,0,0,0,1
673,2009-04,U,0,0,0,0,1
674,2009-05,U,0,0,0,0,1
675,2009-06,U,0,0,0,0,1
676,2009-07,U,0,0,0,0,1
677,2009-08,U,0,0,0,0,1
678,2009-09,U,0,0,0,0,1
679,2009-10,U,0,0,0,0,1
680,2009-11,U,0,0,0,0,1
681,2009-12,U,0,0,0,0,1
682,2010-01,U,0,0,0,0,1
683,2010-02,U,0,0,0,0,1
684,2010-03,U,0,0,0,0,1
685,2010-04,U,0,0,0,0,1
686,2010-05,U,0,0,0,0,1
687,2010-06,U,0,0,0,0,1
688,2010-07,U,0,0,0,0,1
689,2010-08,U,0,0,0,0,1
690,2010-09,U,0,0,0,0,1
691,2010-10,U,0,0,0,0,1
692,2010-11,U,0,0,0,0,1
693,2010-12,U,0,0,0,0,1
694,2011-01,U,0,0,0,0,1
695,2011-02,U,0,0,0,0,1
696,2011-03,U,0,0,0,0,1
697,2011-04,U,0,0,0,0,1
698,2011-05,U,0,0,0,0,1
699,2011-06,U,0,0,0,0,1
700,2011-07,U,0,0,0,0,1
701,2011-08,U,0,0,0,0,1
702,2011-09,U,0,0,0,0,1
703,2011-10,U,0,0,0,0,1
704,2011-11,U,0,0,0,0,1
705,2011-12,U,0,0,0,0,1
706,2012-01,U,0,0,0,0,1
707,2012-02,U,0,0,0,0,1
708,2012-03,U,0,0,0,0,1
709,2012-04,U,0,0,0,0,1
710,2012-05,U,0,0,0,0,1
711,2012-06,U,0,0,0,0,1
712,2012-07,U,0,0,0,0,1
713,2012-08,U,0,0,0,0,1
714,2012-09,U,0,0,0,0,1
715,2012-10,U,0,0,0,0,1
716,2012-11,U,0,0,0,0,1
717,2012-12,U,0,0,0,0,1
718,2013-01,U,0,0,0,0,1
719,2013-02,U,0,0,0,0,1
720,2013-03,U,0,0,0,0,1
721,2013-04,U,0,0,0,0,1
722,2013-05,U,0,0,0,0,1
723,2013-06,U,0,0,0,0,1
724,2013-07,U,0,0,0,0,1
725,2013-08,U,0,0,0,0,1
726,2013-09,U,0,0,0,0,1
727,2013-10,U,0,0,0,0,1
728,2013-11,U,0,0,0,0,1
729,2013-12,U,0,0,0,0,1
730,2014-01,U,0,0,0,0,1
731,2014-02,U,0,0,0,0,1
732,2014-03,U,0,0,0,0,1
733,2014-04,U,0,0,0,0,1
734,2014-05,U,0,0,0,0,1
735,2014-06,U,0,0,0,0,1
736,2014-07,U,0,0,0,0,1
737,2014-08,U,0,0,0,0,1
738,2014-09,U,0,0,0,0,1
739,2014-10,U,0,0,0,0,1
740,2014-11,U,0,0,0,0,1
741,2014-12,U,0,0,0,0,1
742,2015-01,U,0,0,0,0,1
743,2015-02,U,0,0,0,0,1
744,2015-03,U,0,0,0,0,1
745,2015-04,U,0,0,0,0,1
746,2015-05,U,0,0,0,0,1
747,2015-06,U,0,0,0,0,1
748,2015-07,U,0,0,0,0,1
749,2015-08,U,0,0,0,0,1
750,2015-09,U,0,0,0,0,1
751,2015-10,U,0,0,0,0,1
752,2015-11,U,0,0,0,0,1
753,2015-12,U,0,0,0,0,1
754,2016-01,U,0,0,0,0,1
755,2016-02,U,0,0,0,0,1
756,2016-03,U,0,0,0,0,1
